"TEAM","game_id","HOME","PASSINGYARDS","RUSHINGYARDS","TURNOVERS","THIRDDOWN%","REDZONETD%","PENALTYYARDS","OPPONENTPAG","EPA_per_play","PASS_EPA","RUSH_EPA","SUCCESS_RATE","POINTSSCORED"
"GB","2024_06_ARI_GB",1,258,179,1,0.533333333333333,0.176470588235294,55,21.4705882352941,0.160974983823787,0.464208034716917,0.128071133537257,0.550561797752809,34
"ATL","2024_06_ATL_CAR",0,225,198,1,0.538461538461538,0.133333333333333,25,30.8235294117647,0.201435462162828,0.232066112961881,0.320625039565127,0.536585365853659,38
"CAR","2024_06_ATL_CAR",1,221,114,2,0.416666666666667,0.105263157894737,94,23.8823529411765,-0.0900755232006567,-0.129126174979144,-0.0501150356922897,0.464285714285714,20
"BUF","2024_06_BUF_NYJ",0,215,149,0,0.384615384615385,0.136363636363636,116,23.0588235294118,0.129387853010611,0.401773191125408,0.174362880657039,0.517647058823529,23
"NYJ","2024_06_BUF_NYJ",1,294,121,1,0.4,0.0588235294117647,88,21.3,0.075101067139318,0.293606621051591,-0.00110632613567372,0.448717948717949,20
"CIN","2024_06_CIN_NYG",0,208,121,1,0.333333333333333,0,24,24.0588235294118,0.0177290997730945,-0.0160216387519669,0.121299519061318,0.46875,17
"NYG","2024_06_CIN_NYG",1,205,119,1,0.411764705882353,0.25,52,24.4117647058824,-0.133797625652282,-0.333411465720118,0.13039783181254,0.477777777777778,7
"CLE","2024_06_CLE_PHI",0,168,100,0,0.1875,0,80,17.6190476190476,-0.0703315556749708,0.0541423240145317,-0.104048295288099,0.426666666666667,13
"PHI","2024_06_CLE_PHI",1,264,116,0,0.333333333333333,0,15,25.5882352941176,-0.0123514894859353,0.274758363708997,0.0871960888052854,0.461538461538462,20
"DAL","2024_06_DET_DAL",1,224,53,5,0.333333333333333,0,38,21.0555555555556,-0.274493585531052,-0.681838382199671,-0.161948718086077,0.435294117647059,9
"DET","2024_06_DET_DAL",0,334,184,0,0.333333333333333,0.142857142857143,55,27.2941176470588,0.308222789953422,0.54019432119892,0.227199034038623,0.518072289156627,47
"HOU","2024_06_HOU_NE",0,192,192,1,0.4,0.235294117647059,50,23.8235294117647,0.117183752514011,0.0545807564686086,0.192388508759905,0.451219512195122,41
"NE","2024_06_HOU_NE",1,243,82,4,0.230769230769231,0.142857142857143,38,20.8421052631579,-0.221343382764393,-0.406297705229057,-0.163554360290828,0.453488372093023,21
"IND","2024_06_IND_TEN",0,189,80,1,0.529411764705882,0.0526315789473684,98,27,0.0238845337449607,0.0414050799880087,-0.279916924156204,0.433734939759036,20
"TEN","2024_06_IND_TEN",1,95,146,1,0.357142857142857,0.142857142857143,55,24.8823529411765,-0.0299583486882672,-0.210550458361087,0.152087991552045,0.413333333333333,17
"CHI","2024_06_JAX_CHI",1,226,152,1,0.466666666666667,0.285714285714286,29,25,0.273882218332695,0.446032625512089,0.104089394956285,0.551282051282051,35
"JAX","2024_06_JAX_CHI",0,240,68,2,0.4375,0.0526315789473684,24,20.8823529411765,0.01245925248361,0.0189798336541457,-0.0616343139156111,0.441558441558442,16
"DEN","2024_06_LAC_DEN",1,216,110,2,0.2,0.5,30,17.6666666666667,-0.048362734822242,-0.0961465829398817,0.00867090252477873,0.492957746478873,13
"LAC","2024_06_LAC_DEN",0,237,128,0,0.631578947368421,0.0476190476190476,27,18.3888888888889,0.0892449770963451,0.219344494598276,-0.0559045446728955,0.473118279569892,23
"LV","2024_06_PIT_LV",1,227,57,3,0.181818181818182,0.153846153846154,15,20.7222222222222,-0.27302954988693,-0.0908724085924637,-0.582400662750986,0.473684210526316,13
"PIT","2024_06_PIT_LV",0,145,183,0,0.375,0.125,77,25.1176470588235,0.0849416723832766,-0.0154524370547721,0.19255255015579,0.451219512195122,32
"SEA","2024_06_SF_SEA",1,312,52,3,0.368421052631579,0.1,50,25,0.0293963453467329,0.0854486377009615,-0.173069269949337,0.458333333333333,24
"SF","2024_06_SF_SEA",0,255,228,0,0.416666666666667,0.142857142857143,53,21.2352941176471,0.260719597568889,0.418786644031394,0.274069739607516,0.530864197530864,36
"NO","2024_06_TB_NO",1,243,81,3,0.333333333333333,0.166666666666667,40,21.6666666666667,-0.259973178788333,-0.509058744679183,-0.200588514174721,0.466666666666667,27
"TB","2024_06_TB_NO",0,325,277,3,0.6,0.173913043478261,116,23.1176470588235,0.0717839353007102,0.084454863918858,0.367914138102372,0.536082474226804,50
"BAL","2024_06_WAS_BAL",1,323,176,1,0.666666666666667,0.166666666666667,36,24.5,0.18508266033526,0.392915406338734,-0.00980124348174198,0.542168674698795,30
"WAS","2024_06_WAS_BAL",0,269,52,0,0.307692307692308,0.117647058823529,43,20.7368421052632,0.147470718491331,0.249819346490649,-0.209078196411877,0.526315789473684,20
"BAL","2024_07_BAL_TB",0,281,244,1,0.375,0.19047619047619,100,21.6666666666667,0.301233250257474,1.0465434907669,0.0125998539365051,0.540540540540541,41
"TB","2024_07_BAL_TB",1,370,125,2,0.55,0.111111111111111,60,20.7368421052632,0.0885074891437052,0.244920958544098,-0.0874437451937723,0.525252525252525,31
"CAR","2024_07_CAR_WAS",0,89,95,2,0.3,0.2,30,24.5,-0.319746328724665,-0.916306438596803,-0.0718938223409086,0.466666666666667,7
"WAS","2024_07_CAR_WAS",1,211,213,0,0.461538461538462,0.125,84,30.8235294117647,0.220459793749086,0.407388223677325,0.166591324190812,0.583333333333333,40
"CIN","2024_07_CIN_CLE",0,181,59,0,0.153846153846154,0.2,35,25.5882352941176,-0.105824620063471,-0.0632808449320563,-0.361767564342524,0.380281690140845,21
"CLE","2024_07_CIN_CLE",1,277,77,2,0.428571428571429,0.153846153846154,82,24.4117647058824,-0.187340260095168,-0.209846235094069,0.00257289108944003,0.357142857142857,12
"DEN","2024_07_DEN_NO",0,164,225,1,0.363636363636364,0.142857142857143,32,23.1176470588235,0.0668964112565801,0.044759395995735,0.187639678722673,0.556962025316456,33
"NO","2024_07_DEN_NO",1,210,97,2,0.333333333333333,0.333333333333333,50,18.3888888888889,-0.289339771481018,-0.541472392372879,0.0593693470407743,0.409090909090909,9
"DET","2024_07_DET_MIN",0,280,144,1,0.4,0.142857142857143,49,19.3333333333333,0.0433266975527884,0.514410232416563,-0.313898783205077,0.48051948051948,28
"MIN","2024_07_DET_MIN",1,259,139,1,0.363636363636364,0,59,21.0555555555556,0.00809985306953696,-0.0239687241228396,0.171103264019453,0.386666666666667,29
"GB","2024_07_HOU_GB",1,220,82,2,0.4,0.2,70,20.8421052631579,0.0311208537419957,-0.0172671643371724,-0.187919822760159,0.493150684931507,21
"HOU","2024_07_HOU_GB",0,86,142,1,0.266666666666667,0.111111111111111,40,19.2777777777778,0.040083610377934,-0.454540622222224,0.0356404063407417,0.481012658227848,19
"KC","2024_07_KC_SF",0,154,184,2,0.571428571428571,0.19047619047619,20,25,0.0543010587415284,-0.197353185088261,0.193491239202951,0.560975609756098,28
"SF","2024_07_KC_SF",1,212,101,3,0.25,0.125,68,20.1,-0.112361991415956,-0.324103534392168,0.0181841598246685,0.493333333333333,18
"ARI","2024_07_LAC_ARI",1,145,181,1,0.333333333333333,0.0909090909090909,52,17.6666666666667,0.0837151036630212,-0.0131570964093463,0.0831636586463665,0.527777777777778,14
"LAC","2024_07_LAC_ARI",0,349,59,1,0.428571428571429,0,20,21.4705882352941,0.107469460080293,0.138076612884722,-0.115666068201377,0.493506493506494,12
