,TEAM,game_id,HOME,PASSINGYARDS,RUSHINGYARDS,TURNOVERS,THIRDDOWN%,REDZONETD%,PENALTYYARDS,OPPONENTPAG,EPA_per_play,PASS_EPA,RUSH_EPA,SUCCESS_RATE,POINTSSCORED,EPA_per_play_last3,REDZONETD%_last3,POINTSSCORED_last3,OPPONENTPAG_last3
280,BAL,2024_10_CIN_BAL,1,290,99,0,0.615384615384615,0.222222222222222,43,24.4117647058824,0.208579808629139,0.595754615621197,-0.0392393397231306,0.525,35,0.23299850261836255,0.19289164941338832,35.333333333333336,21.88126361655773
306,BAL,2024_11_BAL_PIT,0,207,124,3,0.307692307692308,0.4,60,20.7222222222222,-0.167350651023196,-0.179161235995087,0.0403091284452885,0.423076923076923,16,0.20211402207558424,0.20347365999539901,33.333333333333336,22.7962962962963
334,BAL,2024_12_BAL_LAC,0,177,212,0,0.533333333333333,0.181818181818182,52,17.6666666666667,0.234870291797957,0.33847482228235,0.316031760657539,0.493506493506494,30,0.12801578755593132,0.265378421900161,30.666666666666668,21.174291938997836
378,BAL,2024_13_PHI_BAL,1,237,166,0,0.411764705882353,0.153846153846154,25,17.6190476190476,-0.0510757472997104,-0.0249407340247433,0.026482521181606,0.415730337078652,18,0.0920331498013,0.26801346801346804,27.0,20.933551198257103
418,BAL,2024_15_BAL_NYG,0,290,170,1,0.818181818181818,0.142857142857143,30,24.0588235294118,0.310678704593896,0.837382637357223,0.0754194419598206,0.583333333333333,35,0.005481297825016866,0.24522144522144532,21.333333333333332,18.669312169312164
472,BAL,2024_16_PIT_BAL,1,207,220,1,0.363636363636364,0.157894736842105,35,20.7222222222222,0.167655092146269,0.295094561325557,0.0978781865823112,0.558441558441558,34,0.16482441636404754,0.15950715950715966,27.666666666666668,19.781512605042032
484,BAL,2024_17_BAL_HOU,0,184,251,0,0.444444444444444,0.272727272727273,30,20.8421052631579,0.2631280067926,0.511549441341751,0.2271727579991,0.581081081081081,31,0.1424193498134849,0.15153267784846733,29.0,20.800031123560533
520,BAL,2024_18_CLE_BAL,1,217,220,0,0.5,0.176470588235294,31,25.5882352941176,0.0931439536019637,0.170111358694304,0.146546350893498,0.458823529411765,35,0.2471539345109217,0.191159717475507,33.333333333333336,21.8743836715973
552,BAL,2024_19_PIT_BAL,1,175,299,0,0.666666666666667,0.230769230769231,30,20.7222222222222,0.203665223427072,0.474578657561713,0.224446692509928,0.534090909090909,28,0.17464235084694427,0.202364199268224,33.333333333333336,22.3841875931659
556,BAL,2024_20_BAL_BUF,0,254,176,3,0.636363636363636,0.2,15,21.3,0.131372780392955,-0.023786791152215,0.303637832888916,0.536231884057971,25,0.18664572794054526,0.22665569724393267,31.333333333333332,22.3841875931659
1,BUF,2024_01_ARI_BUF,1,232,130,1,0.25,0.173913043478261,86,21.4705882352941,0.191357432358954,0.36644392364404,0.109303437486689,0.6125,34,0.1484045885145179,0.2036199095022625,31.5,23.155228758169898
34,BUF,2024_02_BUF_MIA,0,139,108,0,0.333333333333333,0.25,25,20.7647058823529,0.117222524215986,0.586916467542351,-0.0635361677584866,0.431034482758621,31,0.197511327893013,0.20234113712374602,31.0,21.09640522875815
78,BUF,2024_03_JAX_BUF,1,266,122,0,0.545454545454545,0.148148148148148,50,25.0,0.345944607816754,0.689716257925261,0.177287196896421,0.545454545454545,47,0.15428997828747004,0.2119565217391305,32.5,21.1176470588235
97,BUF,2024_04_BUF_BAL,0,182,81,1,0.214285714285714,0.2,40,20.7368421052632,-0.150194936127123,-0.244665613015034,0.0255790246567498,0.4,10,0.21817485479723134,0.19068706387546966,37.333333333333336,22.411764705882334
132,BUF,2024_05_BUF_HOU,0,131,150,0,0.1875,0.0714285714285714,45,20.8421052631579,-0.0259931351158517,-0.165546651512269,0.151554187188075,0.375,20,0.10432406530187237,0.1993827160493827,29.333333333333332,22.167182662538703
160,BUF,2024_06_BUF_NYJ,0,215,149,0,0.384615384615385,0.136363636363636,116,23.0588235294118,0.129387853010611,0.401773191125408,0.174362880657039,0.517647058823529,23,0.05658551219125978,0.13985890652557315,25.666666666666668,22.192982456140367
212,BUF,2024_07_TEN_BUF,1,323,74,0,0.363636363636364,0.2,27,27.0,0.17047059893212,0.377998428359216,-0.0496013487820164,0.5,33,-0.01560007274412122,0.13593073593073582,17.666666666666668,21.545923632610965
220,BUF,2024_08_BUF_SEA,0,283,164,2,0.5625,0.16,107,21.2352941176471,0.190545140150654,0.357011365156372,0.265088644297418,0.532608695652174,31,0.0912884389422931,0.13593073593073582,25.333333333333332,23.633642930856567
266,BUF,2024_09_MIA_BUF,1,235,94,1,0.538461538461538,0.105263157894737,62,20.7647058823529,0.217609631615489,0.227015020002003,0.0385495354013343,0.59493670886076,27,0.16346786403112834,0.16545454545454533,29.0,23.764705882352967
