TEAM,game_id,HOME,PASSINGYARDS,RUSHINGYARDS,TURNOVERS,THIRDDOWN%,REDZONETD%,PENALTYYARDS,OPPONENTPAG,POINTSSCORED
PHI,2024_03_PHI_NO,0,311,172,2,0.375,0.142857143,45,23.11764706,15
LA,2024_03_SF_LA,1,221,98,0,0.461538462,0.142857143,112,25,24
SF,2024_03_SF_LA,0,292,137,1,0.642857143,0.125,74,21.89473684,24
CIN,2024_03_WAS_CIN,1,324,124,0,0.6,0.095238095,23,24.5,32
WAS,2024_03_WAS_CIN,0,254,108,0,0.555555556,0.2,21,24.41176471,38
BAL,2024_04_BUF_BAL,1,157,271,1,0.555555556,0.285714286,77,21.3,35
BUF,2024_04_BUF_BAL,0,182,81,1,0.214285714,0.2,40,20.73684211,10
CAR,2024_04_CIN_CAR,1,220,155,1,0.470588235,0.153846154,20,24.41176471,24
CIN,2024_04_CIN_CAR,0,232,141,1,0.533333333,0.176470588,56,30.82352941,31
CLE,2024_04_CLE_LV,0,176,92,1,0.272727273,0.1,34,25.11764706,16
LV,2024_04_CLE_LV,1,130,152,1,0.384615385,0.2,53,25.58823529,20
DAL,2024_04_DAL_NYG,0,221,80,0,0.25,0.25,74,24.05882353,20
NYG,2024_04_DAL_NYG,1,281,26,1,0.277777778,0,50,27.29411765,15
DEN,2024_04_DEN_NYJ,0,60,126,1,0.2,0.25,55,23.05882353,10
NYJ,2024_04_DEN_NYJ,1,225,64,1,0.217391304,0,109,18.38888889,9
HOU,2024_04_JAX_HOU,1,345,101,0,0.571428571,0.15,80,25,23
JAX,2024_04_JAX_HOU,0,169,158,1,0.333333333,0.2,58,20.84210526,20
KC,2024_04_KC_LAC,0,245,101,2,0.5625,0.125,46,17.66666667,17
LAC,2024_04_KC_LAC,1,179,55,0,0.307692308,0.125,45,20.1,10
CHI,2024_04_LA_CHI,1,157,131,0,0.384615385,0.133333333,74,21.89473684,24
LA,2024_04_LA_CHI,0,224,119,2,0.454545455,0.071428571,54,20.88235294,18
GB,2024_04_MIN_GB,1,389,86,5,0.333333333,0.235294118,59,19.33333333,28
MIN,2024_04_MIN_GB,0,275,120,2,0.384615385,0.142857143,64,19.27777778,31
NE,2024_04_NE_SF,0,168,73,3,0.333333333,0.111111111,33,25,13
SF,2024_04_NE_SF,1,288,148,2,0.571428571,0.111111111,30,23.82352941,30
ATL,2024_04_NO_ATL,1,238,88,2,0.363636364,0,81,23.11764706,23
NO,2024_04_NO_ATL,0,239,131,1,0.538461538,0.142857143,55,23.88235294,24
PHI,2024_04_PHI_TB,0,158,113,1,0.428571429,0.181818182,20,21.66666667,16
TB,2024_04_PHI_TB,1,347,111,1,0.533333333,0.2,41,17.61904762,33
IND,2024_04_PIT_IND,1,239,133,0,0.533333333,0.136363636,33,20.72222222,27
PIT,2024_04_PIT_IND,0,312,122,2,0.5,0.176470588,58,24.88235294,24
DET,2024_04_SEA_DET,1,299,116,0,0.5,0.238095238,57,21.23529412,42
SEA,2024_04_SEA_DET,0,395,133,2,0.545454545,0.166666667,114,21.05555556,29
MIA,2024_04_TEN_MIA,1,96,106,1,0.153846154,0.142857143,88,27,12
TEN,2024_04_TEN_MIA,0,110,142,1,0.266666667,0.153846154,79,20.76470588,30
ARI,2024_04_WAS_ARI,1,142,181,1,0.363636364,0.222222222,20,24.5,14
WAS,2024_04_WAS_ARI,0,233,216,1,0.75,0.285714286,111,21.47058824,41
ARI,2024_05_ARI_SF,0,195,169,1,0.3,0.090909091,11,25,24
SF,2024_05_ARI_SF,1,244,153,3,0.5,0.037037037,15,21.47058824,23
BAL,2024_05_BAL_CIN,0,348,175,1,0.666666667,0.294117647,20,24.41176471,38
CIN,2024_05_BAL_CIN,1,392,71,1,0.5,0.176470588,25,20.73684211,38
BUF,2024_05_BUF_HOU,0,131,150,0,0.1875,0.071428571,45,20.84210526,20
HOU,2024_05_BUF_HOU,1,331,94,2,0.470588235,0.25,45,21.3,20
CAR,2024_05_CAR_CHI,0,194,120,3,0.307692308,0,23,20.88235294,10
CHI,2024_05_CAR_CHI,1,304,128,0,0.416666667,0.103448276,41,30.82352941,36
CLE,2024_05_CLE_WAS,0,141,104,1,0.125,0.071428571,55,24.5,13
WAS,2024_05_CLE_WAS,1,236,215,2,0.444444444,0.130434783,28,25.58823529,34
DAL,2024_05_DAL_PIT,0,352,109,3,0.588235294,0.055555556,80,20.72222222,19
PIT,2024_05_DAL_PIT,1,150,92,1,0.230769231,0.333333333,57,27.29411765,17
GB,2024_05_GB_LA,0,224,126,1,0.3,0.222222222,40,21.89473684,24
LA,2024_05_GB_LA,1,260,134,2,0.5,0.117647059,24,19.27777778,19
IND,2024_05_IND_JAX,0,383,99,1,0.5,0.12,34,25,34
JAX,2024_05_IND_JAX,1,371,126,2,0.272727273,0.133333333,25,24.88235294,34
DEN,2024_05_LV_DEN,1,206,109,0,0.25,0.214285714,80,25.11764706,34
LV,2024_05_LV_DEN,0,231,115,3,0.4375,0.2,43,18.38888889,18
MIA,2024_05_MIA_NE,0,194,193,2,0.307692308,0.1,75,23.82352941,15
NE,2024_05_MIA_NE,1,160,151,0,0.285714286,0,84,20.76470588,10
KC,2024_05_NO_KC,1,331,139,1,0.4,0.08,95,23.11764706,26
NO,2024_05_NO_KC,0,182,46,1,0.416666667,0.25,30,20.1,13
NYG,2024_05_NYG_SEA,0,257,175,1,0.5,0.1,25,21.23529412,29
SEA,2024_05_NYG_SEA,1,284,102,1,0.25,0.142857143,25,24.05882353,20
MIN,2024_05_NYJ_MIN,1,203,82,2,0.3125,0.125,115,23.05882353,23
NYJ,2024_05_NYJ_MIN,0,244,36,3,0.333333333,0.142857143,41,19.33333333,17
ATL,2024_05_TB_ATL,1,509,73,1,0.466666667,0.181818182,87,21.66666667,30
TB,2024_05_TB_ATL,0,180,160,1,0.545454545,0.142857143,34,23.88235294,30
ARI,2024_06_ARI_GB,0,214,89,3,0.363636364,0.111111111,85,19.27777778,13
