,TEAM,game_id,HOME,PASSINGYARDS,RUSHINGYARDS,TURNOVERS,THIRDDOWN%,REDZONETD%,PENALTYYARDS,OPPONENTPAG,EPA_per_play,PASS_EPA,RUSH_EPA,SUCCESS_RATE,POINTSSCORED,EPA_per_play_last3,REDZONETD%_last3,POINTSSCORED_last3,OPPONENTPAG_last3,Adj_EPA,Adj_REDZONETD%,Adj_POINTS_last3,EPA_x_REDZONETD,YARD_RATIO
556,BAL,2024_20_BAL_BUF,0,254,176,3,0.636363636363636,0.2,15,21.3,0.131372780392955,-0.023786791152215,0.303637832888916,0.536231884057971,25,0.18664572794054526,0.22665569724393267,31.333333333333332,22.3841875931659,-22.252814812772947,-0.026655697243932658,8.949145740167431,0.026274556078591,1.4350282485875707
1,BUF,2024_01_ARI_BUF,1,232,130,1,0.25,0.173913043478261,86,21.4705882352941,0.191357432358954,0.36644392364404,0.109303437486689,0.6125,34,0.1484045885145179,0.2036199095022625,31.5,23.155228758169898,-22.963871325810942,-0.029706866024001494,8.344771241830102,0.03327955345373115,1.7709923664122138
34,BUF,2024_02_BUF_MIA,0,139,108,0,0.333333333333333,0.25,25,20.7647058823529,0.117222524215986,0.586916467542351,-0.0635361677584866,0.431034482758621,31,0.197511327893013,0.20234113712374602,31.0,21.09640522875815,-20.979182704542165,0.04765886287625398,9.903594771241849,0.0293056310539965,1.275229357798165
78,BUF,2024_03_JAX_BUF,1,266,122,0,0.545454545454545,0.148148148148148,50,25.0,0.345944607816754,0.689716257925261,0.177287196896421,0.545454545454545,47,0.15428997828747004,0.2119565217391305,32.5,21.1176470588235,-20.771702451006746,-0.06380837359098249,11.3823529411765,0.051251053009889434,2.16260162601626
97,BUF,2024_04_BUF_BAL,0,182,81,1,0.214285714285714,0.2,40,20.7368421052632,-0.150194936127123,-0.244665613015034,0.0255790246567498,0.4,10,0.21817485479723134,0.19068706387546966,37.333333333333336,22.411764705882334,-22.561959642009455,0.009312936124530352,14.921568627451002,-0.030038987225424602,2.2195121951219514
132,BUF,2024_05_BUF_HOU,0,131,150,0,0.1875,0.0714285714285714,45,20.8421052631579,-0.0259931351158517,-0.165546651512269,0.151554187188075,0.375,20,0.10432406530187237,0.1993827160493827,29.333333333333332,22.167182662538703,-22.193175797654554,-0.1279541446208113,7.166150670794629,-0.0018566525082751206,0.8675496688741722
160,BUF,2024_06_BUF_NYJ,0,215,149,0,0.384615384615385,0.136363636363636,116,23.0588235294118,0.129387853010611,0.401773191125408,0.174362880657039,0.517647058823529,23,0.05658551219125978,0.13985890652557315,25.666666666666668,22.192982456140367,-22.063594603129754,-0.003495270161937153,3.473684210526301,0.017643798137810543,1.4333333333333333
212,BUF,2024_07_TEN_BUF,1,323,74,0,0.363636363636364,0.2,27,27.0,0.17047059893212,0.377998428359216,-0.0496013487820164,0.5,33,-0.01560007274412122,0.13593073593073582,17.666666666666668,21.545923632610965,-21.375453033678845,0.06406926406926419,-3.879256965944297,0.034094119786424,4.306666666666667
220,BUF,2024_08_BUF_SEA,0,283,164,2,0.5625,0.16,107,21.2352941176471,0.190545140150654,0.357011365156372,0.265088644297418,0.532608695652174,31,0.0912884389422931,0.13593073593073582,25.333333333333332,23.633642930856567,-23.443097790705913,0.024069264069264185,1.6996904024767652,0.030487222424104638,1.715151515151515
266,BUF,2024_09_MIA_BUF,1,235,94,1,0.538461538461538,0.105263157894737,62,20.7647058823529,0.217609631615489,0.227015020002003,0.0385495354013343,0.59493670886076,27,0.16346786403112834,0.16545454545454533,29.0,23.764705882352967,-23.54709625073748,-0.060191387559808324,5.235294117647033,0.02290627701215677,2.473684210526316
278,BUF,2024_10_BUF_IND,0,280,135,2,0.5,0.111111111111111,49,24.8823529411765,0.0157362506050691,-0.165731110063837,0.261427283083322,0.488888888888889,30,0.19287512356608763,0.1550877192982457,30.333333333333332,23.0,-22.98426374939493,-0.0439766081871347,7.333333333333332,0.0017484722894521203,2.0588235294117645
320,BUF,2024_11_KC_BUF,1,262,104,1,0.647058823529412,0.1875,32,20.1,0.140793664296329,0.149043967175709,0.0438542167178419,0.476744186046512,30,0.14129700745707072,0.12545808966861602,29.333333333333332,22.29411764705883,-22.1533239827625,0.06204191033138398,7.039215686274503,0.026398812055561688,2.4952380952380953
384,BUF,2024_13_SF_BUF,1,152,220,0,0.5,0.307692307692308,20,25.0,0.145052641520968,0.406607398454475,0.31453322339397,0.507042253521127,35,0.12471318217229571,0.13462475633528267,29.0,21.9156862745098,-21.77063363298883,0.1730675513570253,7.084313725490201,0.04463158200645174,0.6877828054298643
392,BUF,2024_14_BUF_LA,0,342,103,0,0.636363636363636,0.2,115,21.8947368421053,0.312422443612418,0.454693106490791,0.431982129724929,0.556962025316456,41,0.10052751880745538,0.2021011396011397,31.666666666666668,23.327450980392168,-23.01502853677975,-0.0021011396011396954,8.3392156862745,0.062484488722483605,3.2884615384615383
420,BUF,2024_15_BUF_DET,0,362,197,0,0.384615384615385,0.178571428571429,47,21.0555555555556,0.368704934755024,0.584877778455604,0.371769945090514,0.606741573033708,48,0.19942291647657165,0.23173076923076938,35.333333333333336,22.33157894736843,-21.96287401261341,-0.05315934065934039,13.001754385964905,0.06584016692054016,1.8282828282828283
464,BUF,2024_16_NE_BUF,1,154,172,1,0.307692307692308,0.125,25,23.8235294117647,0.0741064363625518,0.0509587328083862,0.0162253985888259,0.493150684931507,24,0.27539333996280335,0.22875457875457902,41.333333333333336,22.65009746588697,-22.575991029524417,-0.10375457875457902,18.683235867446367,0.009263304545318976,0.8901734104046243
506,BUF,2024_17_NYJ_BUF,1,251,97,0,0.5,0.1875,104,23.0588235294118,0.15209605997748,0.602286970711457,-0.214626376478918,0.511904761904762,40,0.25174460490999795,0.167857142857143,37.666666666666664,22.257940603141865,-22.105844543164384,0.01964285714285699,15.4087260635248,0.0285180112457775,2.561224489795918
512,BUF,2024_18_BUF_NE,0,129,130,0,0.4,0.142857142857143,44,23.8235294117647,-0.0879438637678787,-0.0816413724575751,-0.0530914935410362,0.419753086419753,16,0.19830247703168533,0.16369047619047636,37.333333333333336,22.6459694989107,-22.733913362678578,-0.02083333333333337,14.687363834422637,-0.01256340910969697,0.9847328244274809
544,BUF,2024_19_DEN_BUF,1,272,210,0,0.533333333333333,0.0416666666666667,62,18.3888888888889,0.238050099939487,0.550567821557188,0.170256471530549,0.563218390804598,31,0.04608621085738438,0.15178571428571433,26.666666666666668,23.568627450980397,-23.330577351040912,-0.11011904761904763,3.0980392156862706,0.0099187541641453,1.2890995260663507
557,BUF,2024_20_BAL_BUF,1,127,147,0,0.5,0.166666666666667,38,20.7368421052632,0.111905979295321,-0.0752634724453664,0.181157925148304,0.552631578947368,27,0.10073409871636278,0.12400793650793658,29.0,21.757080610021802,-21.64517463072648,0.04265873015873041,7.242919389978198,0.018650996549220204,0.8581081081081081
564,BUF,2024_21_BUF_KC,0,237,147,0,0.357142857142857,0.214285714285714,21,20.1,0.15701278731338,0.196792331763286,0.112297467262555,0.505882352941176,29,0.0873374051556431,0.11706349206349224,24.666666666666668,20.983086801972266,-20.826074014658886,0.09722222222222175,3.6835798646944014,0.033645597281438525,1.6013513513513513
4,CAR,2024_01_CAR_NO,0,161,58,4,0.153846153846154,0.142857142857143,59,23.1176470588235,-0.379689464684967,-0.527636986451812,-0.411530753568513,0.38961038961039,10,0.17497803961740402,0.10416666666666687,29.0,19.56286549707605,-19.94255496176102,0.03869047619047612,9.43713450292395,-0.054241352097852476,2.7288135593220337
44,CAR,2024_02_LAC_CAR,1,84,90,1,0.0769230769230769,0.0,45,17.6666666666667,-0.395445521304195,-0.787620421469979,-0.0286130972478228,0.317460317460317,3,-0.13389174269482298,0.154761904761905,18.5,21.92724458204335,-22.322690103347547,-0.154761904761905,-3.4272445820433504,-0.0,0.9230769230769231
66,CAR,2024_03_CAR_LV,0,319,131,0,0.4,0.15,54,25.1176470588235,0.166824316869059,0.308869470412647,0.054264413676396,0.533333333333333,36,-0.38756749299458104,0.07142857142857152,6.5,20.3921568627451,-20.225332545876043,0.07857142857142847,-13.8921568627451,0.025023647530358847,2.4166666666666665
98,CAR,2024_04_CIN_CAR,1,220,155,1,0.470588235294118,0.153846153846154,20,24.4117647058824,0.0445182508794943,0.0017191750394719,0.0065678732415627,0.534883720930233,24,-0.20277022304003434,0.09761904761904767,16.333333333333332,21.9673202614379,-21.922802010558406,0.05622710622710632,-5.633986928104569,0.00684896167376836,1.4102564102564104
134,CAR,2024_05_CAR_CHI,0,194,120,3,0.307692307692308,0.0,23,20.8823529411765,-0.197330981514138,-0.493862796886556,0.220119675786823,0.426666666666667,10,-0.061367651185213916,0.10128205128205135,21.0,22.398692810457533,-22.59602379197167,-0.10128205128205135,-1.3986928104575327,-0.0,1.603305785123967
159,CAR,2024_06_ATL_CAR,1,221,114,2,0.416666666666667,0.105263157894737,94,23.8823529411765,-0.0900755232006567,-0.129126174979144,-0.0501150356922897,0.464285714285714,20,0.004670528744805095,0.10128205128205135,23.333333333333332,23.470588235294134,-23.56066375849479,0.00398110661268565,-0.1372549019608016,-0.009481634021121774,1.9217391304347826
186,CAR,2024_07_CAR_WAS,0,89,95,2,0.3,0.2,30,24.5,-0.319746328724665,-0.916306438596803,-0.0718938223409086,0.466666666666667,7,-0.08096275127843347,0.086369770580297,18.0,23.0588235294118,-23.378569858136466,0.11363022941970301,-5.0588235294118,-0.06394926574493301,0.9270833333333334
222,CAR,2024_08_CAR_DEN,0,224,69,2,0.294117647058824,0.2,83,18.3888888888889,-0.124222422272253,-0.13712057115772,-0.162730515093426,0.454545454545455,13,-0.20238427781315327,0.10175438596491236,12.333333333333334,23.088235294117666,-23.21245771638992,0.09824561403508765,-10.754901960784332,-0.024844484454450602,3.2
270,CAR,2024_09_NO_CAR,1,171,80,1,0.4,0.272727272727273,77,23.1176470588235,0.0315162630222698,-0.0199643962739072,0.008292584488767,0.436619718309859,23,-0.17801475806585823,0.16842105263157903,13.333333333333334,22.257080610021802,-22.225564346999533,0.10430622009569396,-8.923747276688468,0.008595344460619044,2.111111111111111
292,CAR,2024_10_NYG_CAR,1,126,188,1,0.375,0.142857142857143,35,24.0588235294118,-0.0165729416968487,-0.263135331117905,0.182637433020939,0.435897435897436,17,-0.13748416265821609,0.22424242424242435,14.333333333333334,22.002178649237464,-22.018751590934315,-0.08138528138528137,-7.6688453159041305,-0.002367563099549817,0.6666666666666666
